trial,composition,agent,agent_type,wealth,return_pct
11,financial_focused,value_5,value,9138.895733863093,-8.611042661369066
11,financial_focused,value_6,value,9138.895733863093,-8.611042661369066
11,financial_focused,value_7,value,9138.895733863093,-8.611042661369066
11,financial_focused,career_8,career,7958.369894270015,-20.41630105729985
12,financial_focused,random_0,random,6555.635720596068,-34.44364279403933
12,financial_focused,momentum_1,momentum,8007.866031171737,-19.921339688282632
12,financial_focused,momentum_2,momentum,8007.866031171737,-19.921339688282632
12,financial_focused,mean_rev_3,mean_rev,11238.82640019058,12.388264001905808
12,financial_focused,mean_rev_4,mean_rev,11238.82640019058,12.388264001905808
12,financial_focused,value_5,value,10068.986354872985,0.6898635487298452
12,financial_focused,value_6,value,10068.986354872985,0.6898635487298452
12,financial_focused,value_7,value,10068.986354872985,0.6898635487298452
12,financial_focused,career_8,career,9243.73663498105,-7.5626336501894915
13,financial_focused,random_0,random,6412.329457292013,-35.87670542707987
13,financial_focused,momentum_1,momentum,8617.836005207742,-13.821639947922577
13,financial_focused,momentum_2,momentum,8617.836005207742,-13.821639947922577
13,financial_focused,mean_rev_3,mean_rev,8658.804416576668,-13.411955834233321
13,financial_focused,mean_rev_4,mean_rev,8658.804416576668,-13.411955834233321
13,financial_focused,value_5,value,9567.463901548266,-4.325360984517338
13,financial_focused,value_6,value,9567.463901548266,-4.325360984517338
13,financial_focused,value_7,value,9567.463901548266,-4.325360984517338
13,financial_focused,career_8,career,10084.013725804178,0.8401372580417774
14,financial_focused,random_0,random,6397.041903239783,-36.02958096760217
14,financial_focused,momentum_1,momentum,8559.652152151684,-14.403478478483157
14,financial_focused,momentum_2,momentum,8559.652152151684,-14.403478478483157
14,financial_focused,mean_rev_3,mean_rev,10625.0357855017,6.250357855016992
14,financial_focused,mean_rev_4,mean_rev,10625.0357855017,6.250357855016992
14,financial_focused,value_5,value,10115.978889387683,1.1597888938768302
14,financial_focused,value_6,value,10115.978889387683,1.1597888938768302
14,financial_focused,value_7,value,10115.978889387683,1.1597888938768302
