trial,config,states,steps,agent,wealth,return_pct
29,base_1000,base,1000,ql,906.796747573947,-90.93203252426053
29,base_1000,base,1000,momentum,7885.800704981727,-21.14199295018273
29,base_1000,base,1000,random,4972.022382332473,-50.27977617667527
0,base_2000,base,2000,ql,38.70211630775948,-99.61297883692241
0,base_2000,base,2000,momentum,6030.0566635604655,-39.69943336439535
0,base_2000,base,2000,random,2775.4622952665554,-72.24537704733444
1,base_2000,base,2000,ql,53.150733431460495,-99.46849266568539
1,base_2000,base,2000,momentum,6511.439388079344,-34.88560611920656
1,base_2000,base,2000,random,3598.1840180829513,-64.01815981917049
2,base_2000,base,2000,ql,34.931586940522806,-99.65068413059477
2,base_2000,base,2000,momentum,6724.795530711891,-32.75204469288109
2,base_2000,base,2000,random,3019.7019391997087,-69.80298060800291
3,base_2000,base,2000,ql,68.03731080874395,-99.31962689191256
3,base_2000,base,2000,momentum,6769.266277194349,-32.30733722805651
3,base_2000,base,2000,random,3102.0687247032934,-68.97931275296708
4,base_2000,base,2000,ql,43.56691341974321,-99.56433086580256
4,base_2000,base,2000,momentum,6218.524408157677,-37.81475591842323
4,base_2000,base,2000,random,2838.417279918271,-71.6158272008173
5,base_2000,base,2000,ql,39.936557428366434,-99.60063442571635
5,base_2000,base,2000,momentum,6566.504328230143,-34.33495671769857
5,base_2000,base,2000,random,3293.759988829681,-67.0624001117032
6,base_2000,base,2000,ql,43.6285796430157,-99.56371420356983
6,base_2000,base,2000,momentum,7298.596179223939,-27.014038207760613
6,base_2000,base,2000,random,2929.2722915927507,-70.70727708407249
7,base_2000,base,2000,ql,114.92030846611671,-98.85079691533883
7,base_2000,base,2000,momentum,7828.600975657573,-21.71399024342427
7,base_2000,base,2000,random,2532.065016368993,-74.67934983631007
8,base_2000,base,2000,ql,39.79614346590882,-99.60203856534092
8,base_2000,base,2000,momentum,6784.768702321622,-32.152312976783776
8,base_2000,base,2000,random,3482.051163722837,-65.17948836277162
9,base_2000,base,2000,ql,51.5531017983508,-99.4844689820165
9,base_2000,base,2000,momentum,8545.400664575514,-14.545993354244857
9,base_2000,base,2000,random,3743.755392061171,-62.562446079388295
10,base_2000,base,2000,ql,70.94014909802009,-99.2905985090198
10,base_2000,base,2000,momentum,6626.104946617864,-33.73895053382136
10,base_2000,base,2000,random,3458.891707677345,-65.41108292322654
11,base_2000,base,2000,ql,63.96760615804937,-99.36032393841951
11,base_2000,base,2000,momentum,7589.256460720658,-24.107435392793423
11,base_2000,base,2000,random,3370.264964086859,-66.29735035913141
12,base_2000,base,2000,ql,37.24210418240483,-99.62757895817595
12,base_2000,base,2000,momentum,7158.214271531969,-28.417857284680313
12,base_2000,base,2000,random,3291.9788984323677,-67.08021101567633
13,base_2000,base,2000,ql,55.62025026016872,-99.44379749739832
13,base_2000,base,2000,momentum,7105.60129774698,-28.9439870225302
13,base_2000,base,2000,random,2994.3599161786537,-70.05640083821346
14,base_2000,base,2000,ql,38.396967635950986,-99.6160303236405
14,base_2000,base,2000,momentum,7624.829901618284,-23.751700983817162
14,base_2000,base,2000,random,3409.7024494776433,-65.90297550522357
15,base_2000,base,2000,ql,26.192885539768056,-99.73807114460233
15,base_2000,base,2000,momentum,7003.038102274473,-29.96961897725527
15,base_2000,base,2000,random,2238.602166655199,-77.61397833344802
16,base_2000,base,2000,ql,52.28464252029495,-99.47715357479704
16,base_2000,base,2000,momentum,6489.252188743641,-35.107478112563584
16,base_2000,base,2000,random,2750.591129688354,-72.49408870311646
17,base_2000,base,2000,ql,44.86564244684911,-99.5513435755315
17,base_2000,base,2000,momentum,7480.074542800603,-25.19925457199397
17,base_2000,base,2000,random,2885.194165375452,-71.14805834624548
18,base_2000,base,2000,ql,95.2882061600196,-99.04711793839981
18,base_2000,base,2000,momentum,6194.996463196032,-38.05003536803968
18,base_2000,base,2000,random,2849.826109184217,-71.50173890815783
19,base_2000,base,2000,ql,57.10422236700485,-99.42895777632995
19,base_2000,base,2000,momentum,7779.883825248483,-22.201161747515172
19,base_2000,base,2000,random,4303.573138854502,-56.96426861145498
20,base_2000,base,2000,ql,373.13798743121026,-96.2686201256879
20,base_2000,base,2000,momentum,8673.553822638503,-13.264461773614967
20,base_2000,base,2000,random,3659.7670264713306,-63.40232973528669
21,base_2000,base,2000,ql,69.99802510070144,-99.30001974899298
21,base_2000,base,2000,momentum,7962.863897480983,-20.371361025190172
21,base_2000,base,2000,random,3008.621193631229,-69.91378806368772
22,base_2000,base,2000,ql,63.655043732743586,-99.36344956267256
22,base_2000,base,2000,momentum,8328.33482160651,-16.716651783934903
22,base_2000,base,2000,random,2843.173480066886,-71.56826519933115
23,base_2000,base,2000,ql,51.434746069401825,-99.48565253930597
23,base_2000,base,2000,momentum,7850.754033845802,-21.49245966154198
23,base_2000,base,2000,random,3221.3548086097653,-67.78645191390234
24,base_2000,base,2000,ql,187.0230184745144,-98.12976981525486
24,base_2000,base,2000,momentum,6989.857813673538,-30.101421863264623
24,base_2000,base,2000,random,3345.3686938508413,-66.54631306149159
25,base_2000,base,2000,ql,48.659197359671865,-99.51340802640328
25,base_2000,base,2000,momentum,8120.171152886829,-18.79828847113171
25,base_2000,base,2000,random,4425.8686155343985,-55.74131384465601
26,base_2000,base,2000,ql,32.779784597012004,-99.67220215402988
26,base_2000,base,2000,momentum,8029.726163595996,-19.70273836404004
26,base_2000,base,2000,random,2740.3691097859,-72.596308902141
27,base_2000,base,2000,ql,83.76625050890384,-99.16233749491096
27,base_2000,base,2000,momentum,6672.705869874447,-33.272941301255536
27,base_2000,base,2000,random,3403.3811859312377,-65.96618814068762
28,base_2000,base,2000,ql,104.08434407125515,-98.95915655928744
28,base_2000,base,2000,momentum,6576.348674584063,-34.23651325415937
28,base_2000,base,2000,random,2992.1891908018924,-70.07810809198108
29,base_2000,base,2000,ql,35.375798719976125,-99.64624201280023
29,base_2000,base,2000,momentum,7499.455576181316,-25.005444238186836
29,base_2000,base,2000,random,2978.597454769991,-70.21402545230008
0,high_500,high,500,ql,5347.991598463801,-46.52008401536199
0,high_500,high,500,momentum,8496.861127481781,-15.031388725182188
0,high_500,high,500,random,6744.373920791581,-32.55626079208419
1,high_500,high,500,ql,4861.592217237248,-51.384077827627515
1,high_500,high,500,momentum,7626.405878591273,-23.73594121408727
1,high_500,high,500,random,6520.119124197357,-34.798808758026425
2,high_500,high,500,ql,6076.145062966848,-39.23854937033152
2,high_500,high,500,momentum,8389.553320061978,-16.104466799380226
2,high_500,high,500,random,6383.956394726148,-36.160436052738525
3,high_500,high,500,ql,6567.7674746489965,-34.32232525351004
3,high_500,high,500,momentum,9300.069940215839,-6.999300597841612
3,high_500,high,500,random,6453.485593513798,-35.46514406486202
4,high_500,high,500,ql,5187.232789697677,-48.12767210302323
4,high_500,high,500,momentum,8345.948448118408,-16.54051551881592
4,high_500,high,500,random,6565.411752952623,-34.34588247047377
5,high_500,high,500,ql,5258.214238884707,-47.41785761115293
5,high_500,high,500,momentum,8681.095662358935,-13.189043376410645
5,high_500,high,500,random,6069.428715533698,-39.30571284466302
6,high_500,high,500,ql,4321.623545559499,-56.78376454440501
6,high_500,high,500,momentum,9163.009330900459,-8.369906690995412
6,high_500,high,500,random,6699.95465355148,-33.0004534644852
7,high_500,high,500,ql,5032.865045911498,-49.67134954088502
7,high_500,high,500,momentum,7909.49728670865,-20.905027132913503
7,high_500,high,500,random,6637.432327123067,-33.62567672876933
8,high_500,high,500,ql,5181.8188559373975,-48.18181144062603
8,high_500,high,500,momentum,8102.037016127339,-18.979629838726613
8,high_500,high,500,random,7141.84851344904,-28.581514865509597
9,high_500,high,500,ql,4636.512924058018,-53.63487075941982
9,high_500,high,500,momentum,8599.120207297861,-14.008797927021387
9,high_500,high,500,random,6527.4798373657395,-34.7252016263426
10,high_500,high,500,ql,4552.674030898717,-54.47325969101283
10,high_500,high,500,momentum,7774.830293267778,-22.25169706732222
10,high_500,high,500,random,6107.76102663967,-38.9223897336033
11,high_500,high,500,ql,4887.814192128753,-51.121858078712464
11,high_500,high,500,momentum,7413.28340190813,-25.8671659809187
11,high_500,high,500,random,6161.240685914604,-38.38759314085396
12,high_500,high,500,ql,4288.167495718153,-57.11832504281847
12,high_500,high,500,momentum,8306.136597020215,-16.93863402979785
12,high_500,high,500,random,6338.369089761826,-36.616309102381734
13,high_500,high,500,ql,5158.171168769994,-48.41828831230006
13,high_500,high,500,momentum,7679.174822655854,-23.20825177344146
13,high_500,high,500,random,6869.841955161179,-31.30158044838821
14,high_500,high,500,ql,4807.20396412425,-51.9279603587575
14,high_500,high,500,momentum,8408.227842266893,-15.917721577331067
14,high_500,high,500,random,6100.73807546098,-38.992619245390195
15,high_500,high,500,ql,5139.656862009149,-48.60343137990851
15,high_500,high,500,momentum,8447.841531717653,-15.521584682823468
15,high_500,high,500,random,6725.578324562504,-32.74421675437495
16,high_500,high,500,ql,6142.753278347276,-38.57246721652724
16,high_500,high,500,momentum,8300.660744501572,-16.993392554984275
16,high_500,high,500,random,6484.875101508722,-35.15124898491278
17,high_500,high,500,ql,5531.6907438862745,-44.68309256113726
17,high_500,high,500,momentum,8467.99063203034,-15.320093679696601
17,high_500,high,500,random,6182.454473052896,-38.17545526947104
18,high_500,high,500,ql,5170.552427572479,-48.29447572427521
18,high_500,high,500,momentum,8587.258896834215,-14.127411031657848
18,high_500,high,500,random,6707.031519825392,-32.92968480174608
19,high_500,high,500,ql,3666.5803453690382,-63.33419654630961
19,high_500,high,500,momentum,8128.005790100593,-18.71994209899407
19,high_500,high,500,random,6848.990388383636,-31.51009611616364
20,high_500,high,500,ql,5563.60290807325,-44.3639709192675
20,high_500,high,500,momentum,9400.725327379005,-5.992746726209953
20,high_500,high,500,random,6558.353396111644,-34.41646603888356
21,high_500,high,500,ql,5101.175313957905,-48.98824686042095
21,high_500,high,500,momentum,8738.668284633233,-12.613317153667667
21,high_500,high,500,random,7178.777572597926,-28.212224274020738
22,high_500,high,500,ql,5097.507235744686,-49.02492764255314
22,high_500,high,500,momentum,7576.380580173545,-24.23619419826455
22,high_500,high,500,random,5913.595203462571,-40.86404796537429
23,high_500,high,500,ql,5276.569066559277,-47.23430933440723
23,high_500,high,500,momentum,8902.815122583363,-10.971848774166373
23,high_500,high,500,random,6494.738995851186,-35.052610041488144
24,high_500,high,500,ql,4929.277208229803,-50.707227917701964
24,high_500,high,500,momentum,8531.006543023823,-14.689934569761771
24,high_500,high,500,random,6506.429647628271,-34.935703523717294
25,high_500,high,500,ql,4921.576621053781,-50.784233789462185
25,high_500,high,500,momentum,8391.37419724734,-16.0862580275266
25,high_500,high,500,random,6195.525911954827,-38.04474088045173
26,high_500,high,500,ql,5913.587382294651,-40.864126177053485
26,high_500,high,500,momentum,7680.319316228204,-23.196806837717958
26,high_500,high,500,random,6273.850245893457,-37.26149754106543
27,high_500,high,500,ql,5221.500200726203,-47.78499799273797
27,high_500,high,500,momentum,9363.245971788423,-6.36754028211577
27,high_500,high,500,random,6738.863194057698,-32.61136805942302
28,high_500,high,500,ql,5539.261419051142,-44.60738580948858
28,high_500,high,500,momentum,8317.912289770824,-16.82087710229176
28,high_500,high,500,random,6034.461733254302,-39.655382667456976
29,high_500,high,500,ql,6018.228192314863,-39.81771807685137
29,high_500,high,500,momentum,9049.890960054345,-9.501090399456553
29,high_500,high,500,random,7047.900699333961,-29.52099300666039
0,high_1000,high,1000,ql,3646.9994114324604,-63.5300058856754
0,high_1000,high,1000,momentum,6253.027096533817,-37.46972903466183
0,high_1000,high,1000,random,5218.599667638241,-47.81400332361759
1,high_1000,high,1000,ql,5105.275270926642,-48.94724729073358
1,high_1000,high,1000,momentum,8368.397410866144,-16.31602589133856
1,high_1000,high,1000,random,5164.85619791365,-48.3514380208635
2,high_1000,high,1000,ql,2998.4733760139447,-70.01526623986055
2,high_1000,high,1000,momentum,8437.077364490486,-15.629226355095144
2,high_1000,high,1000,random,4763.662579992208,-52.36337420007792
3,high_1000,high,1000,ql,2855.673200031074,-71.44326799968925
3,high_1000,high,1000,momentum,7362.205768612978,-26.377942313870218
3,high_1000,high,1000,random,5130.401843718765,-48.69598156281235
4,high_1000,high,1000,ql,2864.641667039553,-71.35358332960448
4,high_1000,high,1000,momentum,8014.263793488102,-19.857362065118977
4,high_1000,high,1000,random,5452.815786051912,-45.47184213948088
5,high_1000,high,1000,ql,3539.6404207194946,-64.60359579280505
5,high_1000,high,1000,momentum,7639.076456817004,-23.60923543182996
5,high_1000,high,1000,random,5452.857575699793,-45.47142424300207
6,high_1000,high,1000,ql,3515.9323659686106,-64.84067634031389
6,high_1000,high,1000,momentum,8016.778852019995,-19.83221147980005
6,high_1000,high,1000,random,5566.335668175048,-44.336643318249514
7,high_1000,high,1000,ql,3830.806496031,-61.691935039689994
7,high_1000,high,1000,momentum,7684.360758360427,-23.15639241639573
7,high_1000,high,1000,random,5193.85690335483,-48.061430966451695
8,high_1000,high,1000,ql,3972.5308170151284,-60.27469182984871
