trial,volatility,agent,wealth,return_pct
29,0.2,adaptive,7514.162661245917,-24.858373387540833
29,0.2,hybrid,15690.240270132925,56.902402701329244
29,0.2,q_learning,4214.4517100574685,-57.85548289942531
0,0.5,random,6772.051345538245,-32.27948654461755
0,0.5,career,9616.175120060025,-3.8382487993997527
0,0.5,trend,4866.645882084122,-51.333541179158786
0,0.5,genre,10000.0,0.0
0,0.5,mean_rev,9710.68811762237,-2.8931188237762946
0,0.5,loyalty,9602.743049090876,-3.972569509091245
0,0.5,value,10691.131044994012,6.91131044994012
0,0.5,momentum,9160.239978311563,-8.397600216884365
0,0.5,adaptive,8292.73673977327,-17.072632602267294
0,0.5,hybrid,16974.85753106958,69.74857531069581
0,0.5,q_learning,3321.4909877856276,-66.78509012214371
1,0.5,random,6955.208154425369,-30.44791845574631
1,0.5,career,8752.192468387662,-12.478075316123377
1,0.5,trend,5479.438667740931,-45.205613322590686
1,0.5,genre,10000.0,0.0
1,0.5,mean_rev,10119.473911735085,1.194739117350855
1,0.5,loyalty,9735.00643077922,-2.6499356922078006
1,0.5,value,10090.772745360102,0.907727453601019
1,0.5,momentum,8640.964760209194,-13.590352397908063
1,0.5,adaptive,7751.404465021588,-22.485955349784117
1,0.5,hybrid,16941.021673051808,69.41021673051807
1,0.5,q_learning,3783.1854797663796,-62.1681452023362
2,0.5,random,6791.209165450756,-32.087908345492444
2,0.5,career,9246.07118158434,-7.539288184156594
2,0.5,trend,4805.290620600057,-51.94709379399943
2,0.5,genre,10000.0,0.0
2,0.5,mean_rev,9798.141410985163,-2.01858589014837
2,0.5,loyalty,9659.474235948945,-3.4052576405105537
2,0.5,value,10260.073631956637,2.6007363195663675
2,0.5,momentum,7877.628125010405,-21.22371874989595
2,0.5,adaptive,7934.942992837203,-20.65057007162797
2,0.5,hybrid,15598.331496238243,55.98331496238243
2,0.5,q_learning,3034.271172051475,-69.65728827948526
3,0.5,random,6561.496640159103,-34.385033598408974
3,0.5,career,9644.929097691891,-3.55070902308109
3,0.5,trend,5094.4695167170175,-49.055304832829826
3,0.5,genre,10000.0,0.0
3,0.5,mean_rev,10329.610068741486,3.2961006874148553
3,0.5,loyalty,9505.716979306895,-4.942830206931048
3,0.5,value,10856.65389475139,8.566538947513909
3,0.5,momentum,8292.215914425422,-17.07784085574578
3,0.5,adaptive,7983.509050925519,-20.16490949074481
3,0.5,hybrid,16692.388108308667,66.92388108308667
3,0.5,q_learning,3612.2239810446335,-63.87776018955366
4,0.5,random,6638.651521163871,-33.61348478836129
4,0.5,career,11820.052630196113,18.200526301961126
4,0.5,trend,6122.831667455595,-38.771683325444044
4,0.5,genre,10000.0,0.0
4,0.5,mean_rev,9752.125917627449,-2.478740823725511
4,0.5,loyalty,9592.402999153694,-4.075970008463064
4,0.5,value,9227.002597946546,-7.729974020534537
4,0.5,momentum,9308.9284698692,-6.910715301307992
4,0.5,adaptive,8975.15416476486,-10.248458352351408
4,0.5,hybrid,17505.805687661352,75.05805687661352
4,0.5,q_learning,3715.464010271373,-62.84535989728627
